,company_name,word count,unique words,unique stemmed,unique lemmatizes,Negative words,Negative Stemmed,Negative lemmatized
0,TRAVELZOO INC,327222,12039,10608,11529,1733,4309,3179
1,ACCO BRANDS Corp,841296,28456,25464,27566,5243,12004,10317
2,GrowGeneration Corp.,175052,11434,10226,11011,1178,3157,2550
3,Advanced Biomedical Technologies Inc.,82050,8008,6845,7601,889,2321,1635
4,"Primerica, Inc.",132391,10091,7831,9352,3017,6600,4301
5,UNITED BANCSHARES INC/OH,1016968,18697,16969,18146,3384,20355,6537
6,LMI AEROSPACE INC,590307,19955,18148,19366,2969,6583,6075
7,TRUSTCO BANK CORP N Y,808346,23151,21100,22513,3675,7856,7064
8,First American Financial Corp,1225581,24696,22406,23971,6208,83030,10387
9,Mead Johnson Nutrition Co,680414,22945,21046,22337,2935,7137,6692
10,"ADM ENDEAVORS, INC.",259475,19591,18249,19168,1002,2534,3528
11,FIRST REAL ESTATE INVESTMENT TRUST OF NEW JERSEY,216380,12774,11585,12378,1639,3120,3261
12,"Atlas Financial Holdings, Inc.",804075,41269,38618,40588,3934,7980,11745
13,SUPERCONDUCTOR TECHNOLOGIES INC,192661,12692,11300,12225,2092,6248,4384
14,World Omni Auto Receivables Trust 2014-A,4071,789,635,728,41,69,68
15,BMW Vehicle Owner Trust 2014-A,4435,833,663,758,54,110,83
16,RPX Corp,463005,20025,18176,19463,2960,6285,5971
17,Ally Auto Assets LLC,4387,984,797,915,58,139,79
18,"CNL Growth Properties, Inc.",328561,16464,14665,15869,2840,5180,4912
19,"THESTREET, INC.",288747,14010,12527,13499,2076,5408,5065
20,Western Gas Partners LP,1446020,110624,104954,109631,5031,9858,32372
21,TABLE TRAC INC,129538,8049,7088,7684,861,2506,1712
22,Scotiabank Covered Bond Guarantor Limited Partnership,2816,720,571,658,36,73,58
23,US GEOTHERMAL INC,252695,21483,19438,20842,2029,4689,5109
24,PATRIOT NATIONAL BANCORP INC,902040,27530,25465,26918,3679,14351,8073
25,IMPERIAL OIL LTD,448433,32623,29950,31851,3597,10214,14308
26,"SILVER BULL RESOURCES, INC.",202434,12806,11602,12407,1974,4076,3549
27,"CV Sciences, Inc.",230532,12728,11351,12251,2159,5048,3966
28,"Valmie Resources, Inc.",97001,8278,7331,7929,1027,2232,2050
29,COHU INC,494864,15025,13576,14522,2126,10841,4134
30,InvenTrust Properties Corp.,673878,29778,27386,29094,4443,8286,9611
31,"Altegris Winton Futures Fund, L.P.",183697,12536,11363,12113,1649,3292,4786
32,"BioCardia, Inc.",309881,17662,15527,16996,2662,7588,5051
33,SOUTHERN CO,3952595,61176,56914,60077,15880,40273,33068
34,AMERICAN FINANCIAL GROUP INC,1798156,32880,30555,32208,6975,13247,13434
35,WFRBS Commercial Mortgage Trust 2012-C9,35690,1952,1650,1819,147,1791,239
36,SANTANDER DRIVE AUTO RECEIVABLES LLC,8182,1565,1336,1471,80,164,142
37,FS Investment Corp II,79829,7094,5730,6647,1443,2996,2226
38,BRISTOL MYERS SQUIBB CO,1395450,57971,54265,57059,4816,11440,18039
39,Primo Water Corp,458493,16826,15078,16248,2976,9794,5426
40,Philip Morris International Inc.,821961,28113,25916,27429,4429,9420,9220
41,"Spine Injury Solutions, Inc",126125,8927,7848,8537,1309,2769,2281
42,MAGICJACK VOCALTEC LTD,431473,17907,16019,17303,2871,6848,5559
43,CNL LIFESTYLE PROPERTIES INC,628202,22187,19765,21415,4797,8661,8160
44,"AzurRx BioPharma, Inc.",172301,10550,9068,10062,1663,3897,3145
45,First Trinity Financial CORP,570066,16116,14813,15695,2769,10552,5279
46,MARTEN TRANSPORT LTD,218104,11888,10714,11478,927,4663,2321
47,PACIFIC MERCANTILE BANCORP,1458361,80072,76028,79253,5322,9449,23179
48,ARES MANAGEMENT LP,1448483,37396,33901,36466,6281,14352,13478
49,FARO TECHNOLOGIES INC,419902,18552,16839,17992,1951,4801,4780
50,CORTLAND BANCORP INC,1334997,20865,18962,20260,4453,61379,7741
51,LAKELAND BANCORP INC,666748,23829,21843,23221,6041,12560,10049
52,"Hartman vREIT XXI, Inc.",75016,6387,5116,5968,1337,3356,2032
53,SECOND SIGHT MEDICAL PRODUCTS INC,245123,15128,13421,14569,2047,4772,4850
54,TRANSAMERICA ADVISORS LIFE INSURANCE Co,547340,21133,19475,20585,5995,12992,14970
55,"Clovis Oncology, Inc.",529115,19882,17686,19210,3410,12642,6282
56,"ATEL 16, LLC",332854,11691,10589,11313,1720,7281,3186
57,HERSHA HOSPITALITY TRUST,909631,22336,20207,21674,4079,19314,7977
58,"LegacyTexas Financial Group, Inc.",818532,26512,24365,25868,4316,7738,8713
59,VOLITIONRX LTD,347829,30263,27908,29580,2055,4453,7167
60,"ICON LEASING FUND TWELVE, LLC",379783,17944,16412,17460,3529,6589,6379
61,Momentive Performance Materials Inc.,948806,24923,22730,24217,4134,9638,8387
62,SCANDIUM INTERNATIONAL MINING CORP.,171247,17037,15643,16582,1020,2737,3410
63,"NexPoint Residential Trust, Inc.",1264953,21306,19344,20685,3880,56581,7416
64,CHESAPEAKE GRANITE WASH TRUST,84725,12528,11147,12075,680,1686,2005
65,KLONDEX MINES LTD,283742,37631,35271,37017,1045,2152,7644
66,"AquaBounty Technologies, Inc.",19857,3050,2094,2746,561,1033,640
67,"Intrepid Potash, Inc.",551987,38716,36038,38020,2646,6028,9106
68,"MIMEDX GROUP, INC.",380414,21196,19112,20527,2509,5439,5647
69,"XPO Logistics, Inc.",813614,26747,24488,26037,4109,9107,8949
70,"MeetMe, Inc.",500061,18917,16776,18228,2949,12881,5871
71,HERITAGE FINANCIAL CORP /WA/,1075482,30359,27980,29672,5197,9474,10396
72,"EMERGENT CAPITAL, INC.",559641,25501,23085,24774,4965,10368,9219
73,"Venture Lending & Leasing VIII, Inc.",15829,2393,1639,2145,438,778,498
74,BankGuam Holding Co,1335984,19607,17790,19023,3855,60760,6790
75,CAPITAL CITY BANK GROUP INC,843011,18441,16581,17844,3486,7609,6204
76,"ViewRay, Inc.",469621,18342,15902,17554,3790,19314,6371
77,Ford Credit Auto Owner Trust 2015-C,4823,996,835,933,40,83,71
78,Egalet Corp,502086,21825,19407,21081,4089,13168,7263
79,Equinox Frontier Select Fund,619816,53545,50617,52855,3332,6373,17820
80,"Strategic Storage Trust II, Inc.",331504,18756,16939,18179,3818,9411,7534
81,PBF Energy Inc.,823405,28563,26153,27821,5306,10707,10453
82,CHOICE HOTELS INTERNATIONAL INC /DE,1015900,27813,25537,27102,3846,8276,8629
83,AmeriCredit Automobile Receivables Trust 2016-2,4382,970,770,891,74,138,107
84,SYNCHRONOSS TECHNOLOGIES INC,506719,22851,20583,22135,3697,7354,7091
85,"MassRoots, Inc.",121122,9005,7763,8580,1061,2937,2415
86,CAPITAL PROPERTIES INC /RI/,95266,9479,8833,9232,742,2356,2088
87,FS Investment Corp IV,67303,6807,5488,6388,1339,2738,1915
88,PRESSURE BIOSCIENCES INC,250710,15176,13417,14584,2863,6153,5691
89,SS&C Technologies Holdings Inc,1141928,16194,14475,15635,3022,52485,5438
90,MGM Growth Properties LLC,426913,19491,17886,18991,2402,5003,5511
91,Inbit Corp,33385,4530,4031,4334,327,985,775
92,NEWFIELD EXPLORATION CO /DE/,662604,23852,21441,23085,4180,8192,7814
93,"Hostess Brands, Inc.",348704,17004,15249,16426,2270,5315,4903
94,CFCRE 2016-C6 Mortgage Trust,56560,2384,2000,2221,300,2459,529
95,"Digital Development Partners, Inc.",35012,4036,3616,3861,306,797,689
96,ORIGINAL SIXTEEN TO ONE MINE INC /CA/,3969,1384,1098,1275,87,194,107
97,NORTECH SYSTEMS INC,259227,11088,9919,10683,1429,7463,2886
98,"Real Goods Solar, Inc.",213466,13034,11518,12508,2639,6307,5207
99,"Applied Minerals, Inc.",339230,14380,12604,13768,2132,8978,3966
